NAME,Symbol,Market Value
"LENNOX INTERNATIONAL, INC.",LII,"$2,264.80"
KENNAMETAL INC.,KMT,"$2,255.10"
UGI CORPORATION,UGI,"$2,253.80"
HRPT PROPERTIES TRUST,HRP,"$2,251.80"
CRANE COMPANY,CR,"$2,248.10"
JETBLUE AIRWAYS CORPORATION,JBLU,"$2,246.70"
"NEUROCRINE BIOSCIENCES, INC.",NBIX,"$2,244.10"
WPS RESOURCES CORPORATION,WPS,"$2,242.90"
"RPM, INC.",RPM,"$2,235.10"
"COGENT, INC.",COGT,"$2,233.00"
"ADTRAN, INC.",ADTN,"$2,232.00"
"CNET NETWORKS, INC.",CNET,"$2,230.40"
SANMINA-SCI CORPORATION,SANM,"$2,229.40"
AGERE SYSTEMS INC,AGR,"$2,221.90"
COMPAGNIE GENERALE DE GEOPHYSIQUE,GGY,"$2,220.70"
"ALKERMES, INC.",ALKS,"$2,217.60"
TECHNE CORPORATION,TECH,"$2,210.00"
BENETTON GROUP SPA,BNG,"$2,194.40"
HOLLY CORPORATION,HOC,"$2,193.90"
BROOKDALE SENIOR LIVING INC.,BKD,"$2,190.40"
TRI CONTINENTAL CORPORATION,TY,"$2,183.30"
TRAVELERS PROPERTY CASUALTY CORPORATION,TPK,"$2,182.80"
"UNOVA, INC.",IN,"$2,180.40"
"BJ'S WHOLESALE CLUB, INC.",BJ,"$2,173.90"
CALAMOS STRATEGIC TOTAL RETURN,CSQ,"$2,169.40"
"PEDIATRIX MEDICAL GROUP, INC.",PDX,"$2,165.90"
"TELEPHONE AND DATA SYSTEMS, INC.",TDS,"$2,160.60"
PETROLEUM GEO-SERVICES ASA,PGS,"$2,159.40"
BELO CORPORATION,BLC,"$2,153.60"
TRIMBLE NAVIGATION LIMITED,TRMB,"$2,152.80"
FMC CORPORATION,FMC,"$2,142.20"
CRESCENT REAL ESTATE EQUITIES COMPANY,CEI,"$2,142.10"
CARRAMERICA REALTY CORPORATION,CRE,"$2,141.50"
MERRILL LYNCH BIOTECH HOLDRS,BBH,"$2,139.50"
"AMERICAN REAL ESTATE PARTNERS, L.P.",ACP,"$2,139.00"
"VALHI, INC.",VHI,"$2,132.90"
DEL MONTE FOODS COMPANY,DLM,"$2,132.70"
GREAT PLAINS ENERGY INC,GXP,"$2,131.00"
"RPC, INC.",RES,"$2,130.00"
CARLISLE COMPANIES INCORPORATED,CSL,"$2,124.40"
ATMOS ENERGY CORPORATION,ATO,"$2,124.30"
"HAWAIIAN ELECTRIC INDUSTRIES, INC.",HE,"$2,123.50"
CHARTERED SEMICONDUCTOR MANUFACTURING LTD.,CHRT,"$2,105.30"
"MSC INDUSTRIAL DIRECT COMPANY, INC.",MSM,"$2,102.70"
INTERACTIVE DATA CORPORATION,IDC,"$2,101.50"
SAN JUAN BASIN ROYALTY TRUST,SJT,"$2,101.10"
CAE INC,CGT,"$2,100.20"
R.H. DONNELLEY CORPORATION,RHD,"$2,092.40"
VECTREN CORPORATION,VVC,"$2,082.00"
SCP POOL CORPORATION,POOL,"$2,078.20"
"EAST WEST BANCORP, INC.",EWBC,"$2,076.30"
COLONIAL PROPERTIES TRUST,CLP,"$2,070.10"
"NORTHERN BORDER PARTNERS, L.P.",NBP,"$2,067.00"
JONES LANG LASALLE INCORPORATED,JLL,"$2,062.80"
ANTEON INTERNATIONAL CORPORATION,ANT,"$2,053.90"
SEABOARD CORPORATION,SEB,"$2,053.10"
CBRL GROUP INC.,CBRL,"$2,052.60"
WESTLAKE CHEMICAL CORPORATION,WLK,"$2,044.40"
ALBEMARLE CORPORATION,ALB,"$2,040.60"
"OVERSEAS SHIPHOLDING GROUP, INC.",OSG,"$2,034.70"
ASPEN INSURANCE HOLDINGS LIMITED,AHL,"$2,015.40"
"MANITOWOC COMPANY, INC.",MTW,"$2,011.80"
